,timestamp,frame,dotbot_x_mm,dotbot_y_mm,dotbot_z_mm,lh_x_mm,lh_y_mm,lh_z_mm,lh_roll_deg,lh_pitch_deg,lh_yaw_deg
129,2024-05-31T12:03:33.680000Z,773,747.25338,992.00387,1134.73578,427.4319,-648.86814,969.22646,-124.53148,-83.63917,-36.7019
130,2024-05-31T12:03:33.690000Z,774,748.35867,993.05721,1133.9019,427.47254,-648.83451,969.23158,-124.80837,-83.58395,-36.99427
131,2024-05-31T12:03:33.700000Z,775,749.44117,994.22171,1133.34758,427.42217,-648.84358,969.23385,-124.47378,-83.66196,-36.68784
132,2024-05-31T12:03:33.710000Z,776,750.5588,995.22578,1132.80198,427.44172,-648.87206,969.21603,-124.4436,-83.60744,-36.63147
133,2024-05-31T12:03:33.720000Z,777,751.75736,996.37522,1132.55798,427.46365,-648.81086,969.2171,-124.52422,-83.59899,-36.74596
134,2024-05-31T12:03:33.730000Z,778,752.90311,997.59373,1132.12688,427.39008,-648.86819,969.21176,-124.19617,-83.67708,-36.38785
135,2024-05-31T12:03:33.740000Z,779,754.05277,998.79767,1131.90778,427.41114,-648.79602,969.23341,-124.43735,-83.64145,-36.71737
136,2024-05-31T12:03:33.750000Z,780,755.15263,999.95772,1131.74582,427.34325,-648.8522,969.24011,-123.6345,-83.74376,-35.85149
137,2024-05-31T12:03:33.760000Z,781,756.12632,1001.10536,1131.48346,427.40466,-648.86403,969.25538,-124.28107,-83.67012,-36.48546
138,2024-05-31T12:03:33.770000Z,782,756.97653,1002.38757,1131.31815,427.44681,-648.85207,969.22904,-124.46949,-83.56355,-36.67378
139,2024-05-31T12:03:33.780000Z,783,757.745,1003.67442,1131.1953,427.42558,-648.83266,969.23694,-124.37846,-83.62155,-36.60852
140,2024-05-31T12:03:33.790000Z,784,758.35306,1005.14899,1130.81849,427.4025,-648.84816,969.24566,-124.18143,-83.66699,-36.40784
141,2024-05-31T12:03:33.800000Z,785,758.78333,1006.61328,1130.51155,427.42239,-648.84878,969.21269,-124.48524,-83.62553,-36.64634
142,2024-05-31T12:03:33.810000Z,786,758.97696,1008.13461,1129.89936,427.40387,-648.81465,969.21779,-124.27499,-83.70825,-36.5052
143,2024-05-31T12:03:33.820000Z,787,759.05466,1009.66048,1129.38848,427.41123,-648.87463,969.20459,-124.05546,-83.60314,-36.1945
144,2024-05-31T12:03:33.830000Z,788,758.83244,1011.27871,1128.82331,427.39795,-648.8556,969.21418,-124.08414,-83.67789,-36.29577
145,2024-05-31T12:03:33.840000Z,789,758.47634,1012.98779,1128.23391,427.37403,-648.83575,969.21024,-124.19934,-83.71675,-36.37685
146,2024-05-31T12:03:33.850000Z,790,758.02417,1014.72485,1127.82512,427.39222,-648.89916,969.22646,-124.37521,-83.66463,-36.51785
147,2024-05-31T12:03:33.860000Z,791,757.43972,1016.80735,1127.2745,427.38964,-648.85086,969.23189,-124.11888,-83.68178,-36.34079
148,2024-05-31T12:03:33.870000Z,792,756.71551,1018.75522,1126.80355,427.46352,-648.81705,969.23743,-124.59817,-83.58308,-36.8165
149,2024-05-31T12:03:33.880000Z,793,755.87192,1020.93721,1126.54303,427.42436,-648.84008,969.25735,-124.37866,-83.62086,-36.60659
150,2024-05-31T12:03:33.890000Z,794,754.82759,1023.13321,1126.2455,427.49118,-648.83533,969.23287,-125.04298,-83.56657,-37.22877
151,2024-05-31T12:03:33.900000Z,795,753.57277,1025.26796,1125.91215,427.39438,-648.85708,969.25628,-124.11675,-83.68229,-36.32893
152,2024-05-31T12:03:33.910000Z,796,752.03993,1027.55964,1125.72576,427.37964,-648.86138,969.25385,-124.46986,-83.70411,-36.6644
153,2024-05-31T12:03:33.920000Z,797,750.36623,1029.97637,1125.82498,427.40676,-648.88103,969.2391,-124.54503,-83.64675,-36.72791
154,2024-05-31T12:03:33.930000Z,798,748.31003,1032.3223,1125.8578,427.43693,-648.88997,969.23097,-124.48457,-83.62525,-36.6455
155,2024-05-31T12:03:33.940000Z,799,745.95425,1034.69581,1125.97597,427.42618,-648.85039,969.23358,-124.45993,-83.61591,-36.66655
156,2024-05-31T12:03:33.950000Z,800,743.35252,1037.07103,1126.10481,427.40625,-648.90283,969.23918,-124.39038,-83.67171,-36.55419
157,2024-05-31T12:03:33.960000Z,801,740.61739,1039.81046,1126.20304,427.39156,-648.84596,969.22962,-124.194,-83.67625,-36.43121
158,2024-05-31T12:03:33.970000Z,802,737.71336,1042.28268,1126.47184,427.41082,-648.83958,969.23333,-124.25159,-83.65298,-36.44784
159,2024-05-31T12:03:33.980000Z,803,734.86959,1044.47755,1127.02366,427.42615,-648.8622,969.23511,-124.71207,-83.68298,-36.96302
160,2024-05-31T12:03:33.990000Z,804,732.02856,1046.43338,1127.66689,427.40511,-648.82262,969.23018,-124.42401,-83.68797,-36.69193
161,2024-05-31T12:03:34.000000Z,805,729.132,1048.23514,1128.29933,427.40856,-648.89798,969.23644,-124.60245,-83.67897,-36.79358
162,2024-05-31T12:03:34.010000Z,806,726.31777,1049.99507,1128.97075,427.43181,-648.8759,969.25379,-124.33638,-83.64376,-36.51425
